member_id,persona_major,neighbor_major,constraint_major,member_bias,activity_n,profile
U001,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.248,53,해산물 비선호
U002,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.133,157,해산물 비선호
U003,양념/소스/조미료,가공/편의식/스낵,육류/해산물/계란,0.301,57,해산물 비선호
U004,쌀/면/떡,가공/편의식/스낵,,-0.105,66,면 선호
U005,채소/과일,음료/유제품,육류/해산물/계란,0.328,63,채식주의자
U006,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.288,59,채식주의자
U007,채소/과일,음료/유제품,육류/해산물/계란,-0.048,60,채식주의자
U008,양념/소스/조미료,가공/편의식/스낵,음료/유제품,0.390,57,유당 불내증
U009,채소/과일,음료/유제품,육류/해산물/계란,0.320,60,해산물 비선호
U010,가공/편의식/스낵,양념/소스/조미료,,-0.103,70,과자 선호(스낵 선호)
U011,쌀/면/떡,가공/편의식/스낵,,0.418,195,면 선호
U012,육류/해산물/계란,양념/소스/조미료,쌀/면/떡,0.337,66,다이어트중
U013,채소/과일,음료/유제품,,0.200,70,채소 선호
U014,쌀/면/떡,육류/해산물/계란,음료/유제품,-0.027,60,유당 불내증
U015,가공/편의식/스낵,양념/소스/조미료,,0.317,67,과자 선호(스낵 선호)
U016,육류/해산물/계란,쌀/면/떡,,0.114,65,육류 선호
U017,육류/해산물/계란,채소/과일,,0.106,59,육류 선호
U018,채소/과일,음료/유제품,,-0.059,132,채소 선호
U019,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.363,127,채식주의자
U020,채소/과일,음료/유제품,쌀/면/떡,-0.113,187,다이어트중
U021,채소/과일,음료/유제품,육류/해산물/계란,-0.297,168,채식주의자
U022,채소/과일,음료/유제품,,0.372,179,채소 선호
U023,채소/과일,음료/유제품,쌀/면/떡,-0.220,179,다이어트중
U024,가공/편의식/스낵,양념/소스/조미료,육류/해산물/계란,-0.384,68,과자 선호(스낵 선호)
U025,음료/유제품,양념/소스/조미료,육류/해산물/계란,-0.039,62,해산물 비선호
U026,육류/해산물/계란,채소/과일,쌀/면/떡,-0.237,68,육류 선호
U027,쌀/면/떡,가공/편의식/스낵,채소/과일,-0.430,62,면 선호
U028,쌀/면/떡,가공/편의식/스낵,,0.370,59,면 선호
U029,육류/해산물/계란,채소/과일,음료/유제품,0.096,70,유당 불내증
U030,가공/편의식/스낵,쌀/면/떡,음료/유제품,-0.224,54,유당 불내증
U031,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.172,68,해산물 비선호
U032,육류/해산물/계란,쌀/면/떡,채소/과일,-0.369,63,육류 선호
U033,채소/과일,음료/유제품,쌀/면/떡,0.028,55,다이어트중
U034,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.421,60,채식주의자
U035,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.417,148,채식주의자
U036,쌀/면/떡,육류/해산물/계란,,-0.369,58,면 선호
U037,가공/편의식/스낵,양념/소스/조미료,,-0.118,58,과자 선호(스낵 선호)
U038,가공/편의식/스낵,양념/소스/조미료,,-0.352,50,과자 선호(스낵 선호)
U039,채소/과일,음료/유제품,쌀/면/떡,0.374,52,다이어트중
U040,채소/과일,육류/해산물/계란,음료/유제품,0.134,125,유당 불내증
