member_id,product_id,rating,persona_major,neighbor_major,constraint_major,item_major,item_sub,item_name,context,is_bridge
U001,253,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"앙카라 마카로니, 500g, 1개","앙카라 마카로니, 500g, 1개",0
U001,108,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,가공/편의식/스낵,김치/젓갈,"한국농협김치 묵은지, 400g, 1개","한국농협김치 묵은지, 400g, 1개",1
U001,136,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,가공/편의식/스낵,기타가공식,"정성식품 연근조림, 100g, 1개","정성식품 연근조림, 100g, 1개",0
U001,301,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,양념/소스/조미료,식초/소금/설탕/향신료,"다진 마늘 큐브 (냉동), 150g, 1개","다진 마늘 큐브 (냉동), 150g, 1개",0
U001,75,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,가루류,"청은에프엔비 검은콩 미숫가루, 1개, 1kg","청은에프엔비 검은콩 미숫가루, 1개, 1kg",0
U001,248,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"푸디버디 하양라면 컵 (80g X 1개), 80g, 1개","푸디버디 하양라면 컵 (80g X 1개), 80g, 1개",1
U001,305,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,양념/소스/조미료,식용유/기름,"청정원 옥수수유, 500ml, 1개","청정원 옥수수유, 500ml, 1개",0
U001,270,5,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,가루류,"베이킹파티 이소말트 설탕공예 사탕원료 저감미당 탕후루원료, 100g, 1개","베이킹파티 이소말트 설탕공예 사탕원료 저감미당 탕후루원료, 100g, 1개",0
U001,277,5,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,가루류,"베이킹파티 초코슬라이스 케익믹스 500g 브라우니믹스, 1개","베이킹파티 초코슬라이스 케익믹스 500g 브라우니믹스, 1개",0
U001,96,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"오뚜기 스파게티, 600g, 1개","오뚜기 스파게티, 600g, 1개",0
U001,252,5,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"오뚜기 옛날사리당면, 100g, 1개","오뚜기 옛날사리당면, 100g, 1개",0
U001,513,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,채소/과일,잎채소,"국내산 조각 양배추, 300g, 1개","국내산 조각 양배추, 300g, 1개",0
U001,134,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,가공/편의식/스낵,기타가공식,"천년의반찬 땅콩조림, 300g, 1개","천년의반찬 땅콩조림, 300g, 1개",0
U001,395,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,채소/과일,과일,"제이드가든 머스크메론, 1.2kg, 1개","제이드가든 머스크메론, 1.2kg, 1개",0
U001,236,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,떡류,CJ 햇반 만능 계란 볶음밥 400g,CJ 햇반 만능 계란 볶음밥 400g,1
U001,266,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,즉석식품,"오뚜기 하이라이스 분말, 100g, 1개","오뚜기 하이라이스 분말, 100g, 1개",0
U001,93,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"삼양 큰컵 까르보 불닭볶음면 105g, 3개","삼양 큰컵 까르보 불닭볶음면 105g, 3개",0
U001,410,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,채소/과일,과일,"생과급냉 고창 햇 청일 과상 오디, 1개, 과상2호 특품 1kg","생과급냉 고창 햇 청일 과상 오디, 1개, 과상2호 특품 1kg",0
U001,367,2,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,양념/소스/조미료,소스,"삼양 핵불닭소스, 200g, 1개","삼양 핵불닭소스, 200g, 1개",0
U001,101,3,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,면류,"냉장_풀무원 보리 쫄면사리, 150g, 1개","냉장_풀무원 보리 쫄면사리, 150g, 1개",0
U001,83,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,즉석식품,"곰곰 곤약 닭가슴살 잡채볶음밥 (냉동), 200g, 1개","곰곰 곤약 닭가슴살 잡채볶음밥 (냉동), 200g, 1개",1
U001,268,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,쌀/면/떡,가루류,"곰곰 바삭한 부침가루, 1kg, 1개","곰곰 바삭한 부침가루, 1kg, 1개",0
U001,643,4,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,음료/유제품,우유,"폴스 팜하우스 골드 밀크, 1L, 2개","폴스 팜하우스 골드 밀크, 1L, 2개",0
